Name,Governor ID,Alliance,Power
LiarsV,0,RP38,32040216.0
DolphynPanchito,10078313,Hp38,40481245.0
Pochemuchka,10154350,RR38,74367049.0
Sherl0cked,10205602,Hp38,30068248.0
Busterblader,10327115,RR38,84362689.0
义Rengoku,10391630,RR38,74733668.0
Ｓｌoｔｈ,10621502,RR38,72917766.0
BEP 1,10806254,RP38,71916626.0
义Headhuntr义,1080643,F38Y,79043167.0
Duᶜᵏ Peachy,10882519,RK38,70758688.0
Zãnøagã F7,10918651,]t38,34992905.0
HISPAN0,1097477,Ri38,29232307.0
The Clownfish,11075518,RK38,73891831.0
Phorak,11328321,RA38,62623912.0
Big Piens Shake,11694371,RA38,79279011.0
BigTruck,11740217,RR38,68963854.0
mustachride,11749129,RP38,79209886.0
Marsh Farm 1,1181144,RE38,37988766.0
RuKh,11904157,RR38,80833266.0
PERSAIN,11904784,RA38,74764584.0
AlphaOmegA,11915882,RK38,55352378.0
LivingDeadZebu,11963714,Rt38,29831397.0
BabyfuzZy,12168629,RR38,68896448.0
Taco Banderas,12168880,RR38,63541833.0
YouGotCrabs,12182229,RR38,75992534.0
J E L i B E A N,12358600,RR38,68644650.0
TeeroHPx,12507402,Ri38,29122192.0
Wiggly lou,12529038,Ri38,41234862.0
주님・PʀøHacJd,12645110,RP38,61784912.0
RA38  LionsRoar,12782581,RA38,74859814.0
ᴄʜᴀᴘᴏ,12877754,RR38,82424237.0
MUshO,12971051,RK38,67311718.0
CallMeTea2,12971479,RN38,26316570.0
Explosive Skull,13371305,RK38,63618052.0
User 21,13373896,RK38,69251032.0
Lady Manor,13551576,RR38,63142185.0
KillerM92,13780200,RR38,92558288.0
Meowkata,13816660,RR38,72244879.0
RubbMyNuts,13816815,DK38,94615889.0
Bajietong OG,14020401,RR38,63826179.0
GGerard,14138612,RR38,90713129.0
TheWhiteAki,14739629,F38e,45126392.0
i Tommy Shelby,15038629,RR38,61598468.0
PRADA013,15114224,RP38,54232735.0
暗 pequod,15186568,RP38,76465502.0
Mini Marsh 02,1518877,RE38,35080665.0
Mini Marsh 01,1519039,RE38,35068475.0
Laffty,15570213,Ri38,32176650.0
ᵗᵉᵃTime,15689544,RR38,88355533.0
Gaia Kight Chao,15800654,Ri38,45996308.0
I Am Tea Farm,15850637,F38S,24947929.0
NoTTeA,15856222,F38S,28720535.0
CallMeTea1,15888946,RH38,37238406.0
Ammye 个,15984647,RK38,87705754.0
Fr소nchy,16028895,RX38,57226296.0
YouGotNickCrabs,16092334,Hp38,25014973.0
Mjǫlnir,16155630,Rw38,22524956.0
AbbyRigg Hèró,1616635,RP38,85505853.0
Legendᴷᵒˢ,16272006,Rt38,43161046.0
ItsAki II,16353531,F38e,45200182.0
Bortron,16508127,Hp38,25573239.0
BerryMuffins,16512590,RA38,83814065.0
القرم ᵀᴹ,16519446,RX38,32643709.0
mustachfarm,16578265,MEow,38535009.0
PALL0,16709976,RP38,72722110.0
xBigWoodx,16710828,RA38,165491992.0
PhyxiÂ,16759370,RA38,82615757.0
Alotta Fagina,16891821,RK38,68399585.0
Fr소nchy亗Yeo,16898698,rd38,25613302.0
暗 Winter,16908012,RA38,101142555.0
暗 Sham 叁肆,16921563,RR38,63294682.0
VN Miền Tây2,17232791,RC38,26587166.0
Jessy Jr,17256004,RA38,67306755.0
YSf,17373071,RE38,27347958.0
暗 Moises P,17376374,RR38,91007610.0
暗 Toxic Arrow,17413785,RA38,81805009.0
BIICHO DORADO,17502418,Rt38,46758287.0
Dixie  Normous,17539883,[{Hp38]Humble plebeians,40094642.0
S i m o   CG,17625084,RA38,75180052.0
Nz Húika,17647992,F38K,36691359.0
WomBort,17736681,RR38,105576319.0
Maru AF,17736708,RR38,99966663.0
BabyChoda,17739137,#N/A,24856828.0
sh3rl0ck,17742942,RP38,83316528.0
Traxxxx,17780812,RP38,76650808.0
JOLAN,17854556,RA38,75002508.0
MyBubbles,17875970,RA38,78760507.0
Executioner AF,18373874,RA38,81087915.0
stoned farm 6,18401805,F38N,24241485.0
Apocó,18881145,Ri38,37465999.0
I BlackHeart I,19004552,RX38,72620042.0
Rexy Scarlet,19025454,RC38,35140510.0
ll Taiga ll,19036336,#N/A,66489665.0
Wings Shin,19435040,RA38,61891813.0
ETHx,19626853,RR38,101224495.0
moon4lite,20379195,RK38,78040337.0
雨Kuma雨,20446496,RK38,69666322.0
IamGilbo,20462120,RK38,73821205.0
Schylur,20528847,Hp38,46173124.0
Irenerene,20533430,RK38,83995127.0
AfroditA I,20605198,RE38,29908932.0
xM3llow KiNg,20619443,Rg38,34407281.0
暗 SeroS 戰,20843787,RP38,90273754.0
Fr소nchy亗Oi,20946021,F38S,24637451.0
Alex18Croatia,21090207,RA38,72486339.0
FarmingBubbles,21257492,Hp38,41084689.0
12belaguks,21361332,Rt38,23938252.0
Slayer X Rakay,21362209,RX38,25332157.0
Azalynz DG AF,21463108,RK38,80029401.0
