Governor ID,Unnamed: 0,Unnamed: 0.1,Date,Name,ASCII Name,Alliance,Power,Total Kills,Kill Points,T1 Kills,T2 Kills,T3 Kills,T4 Kills,T5 Kills,RSS Assistance,Alliance Helps,Dead Troops,KP By Kills,Kill Points_diff,T1 Kills_diff,T2 Kills_diff,T3 Kills_diff,T4 Kills_diff,T5 Kills_diff,RSS Assistance_diff,Dead Troops_diff,KVK contrib,T4 Kills Contrib,T5 Kills Contrib,Dead Troops Contrib
0,0,389,2021-11-22,LiarsV,LiarsV,RP38,32040216.0,10643174,74351106,1153881,1216452,2075289,6056477,141075,234949535,12087,598531,74351106.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
10078313,6,1165,2022-01-01,DolphynPanchito,DolphynPanchito,[{Hp38]Humble plebeians,40759414.0,1260784,17659887,1649,1124,11640,731667,514704,15048097864,11334,2860713,17659887.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
10154350,12,1544,2022-01-01,Pochemuchka,Pochemuchka,RR38,76393239.0,92651166,690073599,30239587,2277519,5500106,43520886,11113068,7903333860,77245,6943890,690073599.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1908960,552522,1099692,256746
10205602,18,1634,2022-01-01,Sherl0cked,Sherl0cked,Hp38,31962853.0,3393233,9297302,2585852,52249,4001,636299,114832,2336785737,5207,367973,9297302.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
10327115,24,1096,2022-01-01,Busterblader,Busterblader,RR38,65193799.0,168729201,2182929679,2878559,2311069,4605930,101936475,56997168,17734934438,175447,21265188,2182929679.0,18906876.0,48724.0,41.0,0.0,912517.0,488594.0,30000000.0,196694.0,41901161,5475881,15863934,20561346
10391630,30,1958,2022-01-01,义Rengoku义,义Rengoku义,RR38,63584671.0,160722981,2043528304,4080720,1383066,2287867,102863200,50108128,2966099777,72484,10229913,2043528304.0,12339611.0,7431.0,3078.0,4307.0,651116.0,290179.0,0.0,226002.0,54212930,13315480,24404242,16493208
10621502,36,1994,2022-01-01,Ｓｌoｔｈ,Ｓｌoｔｈ,RA38,72720872.0,77953262,891119020,1616464,1687330,4679577,53069506,16900385,4674097550,78900,7255244,891119020.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5895651,800625,2342262,2752764
10806254,42,1050,2022-01-01,BEP 1,BEP 1,DK38,68640176.0,49991183,655957496,729621,631210,1260333,29789256,17580763,3676433939,38139,8859877,655957496.0,22933646.0,145020.0,9466.0,30890.0,1452037.0,412089.0,0.0,451709.0,16794677,3094853,6259272,7440552
1080643,48,1954,2022-01-01,义Headhuntr义,义Headhuntr义,RR38,70446322.0,106029669,1010011430,27749860,1456028,3262923,48271945,25288913,9606515869,73593,12264138,1010011430.0,23063892.0,69179.0,45464.0,5552.0,945230.0,674231.0,5000000.0,255205.0,16734177,2466125,7700998,6567054
10882519,54,1171,2022-01-01,Duᶜᵏ Peachy,Duᶜᵏ Peachy,RK38,71954523.0,39638388,544833354,565002,249251,252408,22822232,15749495,10648386347,93531,6146276,544833354.0,10568474.0,2.0,0.0,1.0,327747.0,364550.0,15000000.0,20821.0,7341938,1524970,3254092,2562876
